trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
205,False,"{'a': 0.1300287108784259, 'e': 0.1300287108784259}",25,2,22.568747088367296,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 0}",1
206,False,"{'a': 0.12873490358780423, 'e': 0.12873490358780423}",20,8,-19.55475533526039,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 1}",1
207,False,"{'a': 0.12745396989482075, 'e': 0.12745396989482075}",25,14,12.867478223378491,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
208,False,"{'a': 0.12618578170503877, 'e': 0.12618578170503877}",20,11,6.522966604497963,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
209,False,"{'a': 0.12493021219858241, 'e': 0.12493021219858241}",20,11,18.638803431757793,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
210,False,"{'a': 0.12368713581745483, 'e': 0.12368713581745483}",30,2,-43.43210580340974,"{0: 26, 1: 0, 2: 0, 3: 0, 4: 2}",1
211,False,"{'a': 0.1224564282529819, 'e': 0.1224564282529819}",25,10,24.22888714218268,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
212,False,"{'a': 0.12123796643338168, 'e': 0.12123796643338168}",20,15,1.6411351448883833,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
213,False,"{'a': 0.12003162851145673, 'e': 0.12003162851145673}",25,8,24.83338368696263,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
214,False,"{'a': 0.11883729385240965, 'e': 0.11883729385240965}",30,22,17.21459171640925,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
215,False,"{'a': 0.11765484302177918, 'e': 0.11765484302177918}",35,15,9.266486115325879,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",1
216,False,"{'a': 0.11648415777349697, 'e': 0.11648415777349697}",25,13,-35.91890596555781,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 1}",1
217,False,"{'a': 0.11532512103806251, 'e': 0.11532512103806251}",25,11,-15.967889421386051,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
218,False,"{'a': 0.1141776169108365, 'e': 0.1141776169108365}",20,8,21.345415863536573,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
219,False,"{'a': 0.11304153064044985, 'e': 0.11304153064044985}",35,9,18.649251110896255,"{0: 24, 1: 0, 2: 2, 3: 0, 4: 0}",1
220,False,"{'a': 0.11191674861732888, 'e': 0.11191674861732888}",20,15,9.089699341295727,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
221,False,"{'a': 0.11080315836233387, 'e': 0.11080315836233387}",20,3,-27.53251477491894,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 1}",1
